Atmospheric.Condition,Roadway,Person.Type,Drug.Involvement,Race,Gender,Injury.Severity,region,Fatalities.in.crash,Alcohol.Results,agenew1,age_cat
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,33,31-40
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,3,0,17,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,3,0,32,31-40
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,26,26-30
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Male,Fatal Injury (K),West,1,0.09,26,26-30
Cloudy,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0,68,61+
Rain,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,75,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),South,1,0,20,16-25
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),Northeast,1,0,75,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,45,41-50
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.33,29,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,17,16-25
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,20,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.23,24,16-25
Cloudy,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.22,45,41-50
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.45,47,41-50
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,30,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.12,55,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,2,0.2,50,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,2,0,69,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),West,1,0.27,25,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.21,27,26-30
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.07,59,51-60
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.01,30,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0,70,61+
Clear,Rural-Unknown Rural,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,50,41-50
Rain,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.24,42,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,32,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,60,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0,94,61+
Clear,Rural-Unknown Rural,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.06,36,31-40
Snow,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,49,41-50
Rain,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,24,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,18,16-25
Cloudy,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.13,29,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),West,1,0,44,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0,61,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0,34,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,18,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,83,61+
Snow,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,48,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,19,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0.2,20,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,16,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,43,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,Asian Indian,Male,Fatal Injury (K),Northeast,1,0.12,51,51-60
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,1,0.06,26,26-30
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,2,0,68,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,26,26-30
Cloudy,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,3,0.2,17,16-25
Clear,Urban-Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,Chinese,Female,Fatal Injury (K),West,1,0,17,16-25
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,38,31-40
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0,26,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,40,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,61,61+
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,50,41-50
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,Black,Female,Fatal Injury (K),South,2,0.05,16,16-25
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Yes,Black,Female,Fatal Injury (K),South,2,0,17,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,24,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,46,41-50
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,27,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,20,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,2,0,41,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,80,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.22,24,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0.35,43,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,69,61+
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0.16,33,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),Northeast,1,0,51,51-60
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.32,28,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.12,47,41-50
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,29,26-30
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,80,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),West,1,0.16,52,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,69,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,2,0,39,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,59,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.14,25,16-25
Blowing Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,34,31-40
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,2,0,19,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.17,20,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Japanese,Male,Fatal Injury (K),West,1,0,85,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,2,0,31,31-40
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,57,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0.08,36,31-40
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,62,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,73,61+
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),West,2,0,16,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,2,0,17,16-25
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,18,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.22,47,41-50
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,57,51-60
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,45,41-50
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,85,61+
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,21,16-25
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,32,31-40
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,59,51-60
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,2,0,17,16-25
Clear,Rural-Minor Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,2,0,21,16-25
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,84,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,46,41-50
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,Black,Female,Fatal Injury (K),South,1,0,59,51-60
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,22,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,48,41-50
Rain,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,44,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),West,1,0.23,44,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.17,60,51-60
Rain,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),West,1,0.24,27,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,All other races,Male,Fatal Injury (K),South,1,0.15,23,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),South,1,0,19,16-25
Rain,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,49,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,23,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,24,16-25
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.18,25,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,44,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,53,51-60
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0.02,16,16-25
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,81,61+
Cloudy,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,76,61+
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),South,1,0,64,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,60,51-60
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,74,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,72,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,39,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,69,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0.38,26,26-30
Rain,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0.24,45,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,19,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,48,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,47,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.65,23,16-25
Clear,Rural-Minor Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,25,16-25
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,81,61+
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),South,1,0,54,51-60
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.08,42,41-50
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.16,64,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,50,41-50
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,23,16-25
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,33,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),Northeast,1,0,45,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0.2,16,16-25
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.02,86,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.19,67,61+
Snow,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0.19,45,41-50
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,30,26-30
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.18,40,31-40
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,59,51-60
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0.33,27,26-30
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,21,16-25
Cloudy,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,78,61+
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,48,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),Northeast,1,0,81,61+
Cloudy,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,77,61+
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,58,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,54,51-60
Rain,Urban-Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0.47,18,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,88,61+
Snow,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,78,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,82,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),West,2,0,45,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,\N,Female,Fatal Injury (K),West,2,0,45,41-50
Unknown,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.24,27,26-30
Snow,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,1,0,21,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),Northeast,1,0,37,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,19,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,55,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,64,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0.24,33,31-40
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,70,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,19,16-25
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,26,26-30
Rain,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,3,0,65,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.01,80,61+
Cloudy,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),West,1,0,53,51-60
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),West,3,0,22,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),West,3,0,31,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,27,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.2,28,26-30
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),South,1,0.15,59,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,56,51-60
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,28,26-30
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0.09,44,41-50
Severe Crosswinds,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,82,61+
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,1,0.29,49,41-50
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,69,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0,18,16-25
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,77,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,74,61+
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,47,41-50
Snow,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,28,26-30
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.17,29,26-30
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,67,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,54,51-60
Cloudy,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,53,51-60
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,58,51-60
